,year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip,time,modis,viirs
20,2021,1,1,14,0.22817,0.149003,0.027001,0.027,0.0,2021-1-1-14,0,0
44,2021,1,2,14,0.144242,0.159498,0.027056,0.027,0.0,2021-1-2-14,0,0
68,2021,1,3,14,0.244442,0.173448,0.027366,0.027,0.0,2021-1-3-14,0,0
92,2021,1,4,14,0.133732,0.152582,0.028177,0.027,0.0,2021-1-4-14,0,0
116,2021,1,5,14,0.13306,0.16027,0.029554,0.027,0.0,2021-1-5-14,0,0
140,2021,1,6,14,0.139717,0.146088,0.03157,0.027,0.0,2021-1-6-14,0,1
164,2021,1,7,14,0.26246,0.16881,0.034103,0.027001,0.0,2021-1-7-14,0,0
188,2021,1,8,14,0.171992,0.183215,0.036714,0.027001,0.0,2021-1-8-14,0,0
212,2021,1,9,14,0.19287,0.173038,0.040137,0.027001,0.0,2021-1-9-14,0,0
236,2021,1,10,14,0.189239,0.161728,0.043557,0.027002,0.0,2021-1-10-14,0,0
260,2021,1,11,14,0.183573,0.153043,0.047601,0.027003,0.0,2021-1-11-14,0,0
284,2021,1,12,14,0.512138,0.179521,0.052133,0.027004,0.025399999999999,2021-1-12-14,0,0
308,2021,1,13,14,0.149546,0.321857,0.0579,0.027005,0.0,2021-1-13-14,0,0
332,2021,1,14,14,0.122303,0.16302,0.052578,0.027007,0.0,2021-1-14-14,0,0
356,2021,1,15,14,0.201012,0.143592,0.079054,0.02701,0.0,2021-1-15-14,0,5
380,2021,1,16,14,0.412928,0.209605,0.084339,0.027012,0.0,2021-1-16-14,0,0
404,2021,1,17,14,0.488248,0.217876,0.08887,0.027015,0.2032000000000039,2021-1-17-14,0,0
428,2021,1,18,14,0.234912,0.231732,0.083362,0.027019,0.0,2021-1-18-14,0,0
452,2021,1,19,14,0.185097,0.176729,0.090349,0.027023,0.0,2021-1-19-14,0,0
476,2021,1,20,14,0.130716,0.15149,0.097184,0.027029,0.0,2021-1-20-14,0,0
500,2021,1,21,14,0.165665,0.138116,0.102358,0.027038,0.0,2021-1-21-14,0,0
524,2021,1,22,14,0.274408,0.172566,0.104878,0.027047,0.0,2021-1-22-14,0,0
548,2021,1,23,14,0.182989,0.164773,0.106377,0.027056,0.0,2021-1-23-14,0,0
572,2021,1,24,14,0.182293,0.143159,0.106728,0.027009,0.0,2021-1-24-14,0,0
596,2021,1,25,14,0.164641,0.133684,0.105935,0.027071,0.0,2021-1-25-14,0,0
620,2021,1,26,14,0.162074,0.126761,0.106924,0.027011,0.0,2021-1-26-14,0,0
644,2021,1,27,14,0.174775,0.119861,0.106396,0.027012,0.0,2021-1-27-14,0,0
668,2021,1,28,14,0.166568,0.12414,0.106805,0.0271,0.0,2021-1-28-14,0,0
692,2021,1,29,14,0.419822,0.197632,0.107639,0.027118,0.0,2021-1-29-14,0,0
716,2021,1,30,14,0.169117,0.192246,0.107781,0.027137,0.0,2021-1-30-14,0,0
740,2021,1,31,14,0.130608,0.157123,0.107676,0.02716,0.0,2021-1-31-14,0,0
764,2021,2,1,14,0.141095,0.13871,0.10784,0.027192,0.0,2021-2-1-14,0,0
788,2021,2,2,14,0.583896,0.183698,0.108155,0.027224,0.1269999999999981,2021-2-2-14,0,0
812,2021,2,3,14,0.510892,0.244739,0.109451,0.027246,0.0254000000000019,2021-2-3-14,0,0
836,2021,2,4,14,0.460531,0.200781,0.11351,0.027278,0.0254000000000019,2021-2-4-14,0,0
860,2021,2,5,14,0.391705,0.24814,0.113434,0.027307,0.0,2021-2-5-14,0,0
884,2021,2,6,14,0.431858,0.244729,0.119144,0.02735,0.0,2021-2-6-14,0,0
908,2021,2,7,14,0.185577,0.22471,0.121725,0.027379,0.0,2021-2-7-14,0,0
932,2021,2,8,14,0.193392,0.170963,0.120311,0.027395,0.0,2021-2-8-14,0,0
956,2021,2,9,14,0.195451,0.156525,0.119654,0.027422,0.0,2021-2-9-14,0,0
980,2021,2,10,14,0.548279,0.146974,0.121119,0.027447,0.1016000000000019,2021-2-10-14,0,0
1004,2021,2,11,14,0.164897,0.189483,0.120668,0.027466,0.0,2021-2-11-14,0,0
1028,2021,2,12,14,0.123346,0.174945,0.121156,0.027472,0.0,2021-2-12-14,0,0
1052,2021,2,13,14,0.139049,0.162353,0.120894,0.027097,0.0,2021-2-13-14,0,0
1076,2021,2,14,14,0.139995,0.149204,0.121489,0.027486,0.0,2021-2-14-14,0,0
1100,2021,2,15,14,0.190183,0.134241,0.12199,0.027496,0.0,2021-2-15-14,0,0
1124,2021,2,16,14,0.488667,0.139429,0.122073,0.027532,0.0254000000000019,2021-2-16-14,0,0
