,year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip,time,modis,viirs
20,2021,1,1,14,0.215235,0.153844,0.033162,0.028859,0.0,2021-1-1-14,0,0
44,2021,1,2,14,0.142612,0.147734,0.03755,0.029541,0.0,2021-1-2-14,0,0
68,2021,1,3,14,0.226675,0.1713,0.04169,0.029506,0.0,2021-1-3-14,0,0
92,2021,1,4,14,0.13083,0.139671,0.045032,0.030301,0.0,2021-1-4-14,0,0
116,2021,1,5,14,0.128339,0.142785,0.048434,0.030148,0.0,2021-1-5-14,0,0
140,2021,1,6,14,0.13628,0.133314,0.05134,0.030913,0.0,2021-1-6-14,0,1
164,2021,1,7,14,0.252535,0.171463,0.056287,0.032402,0.0,2021-1-7-14,0,0
188,2021,1,8,14,0.16644,0.164529,0.059853,0.031945,0.0,2021-1-8-14,0,0
212,2021,1,9,14,0.189894,0.162483,0.064108,0.032957,0.0,2021-1-9-14,0,0
236,2021,1,10,14,0.185395,0.145856,0.062061,0.032234,0.0,2021-1-10-14,0,0
260,2021,1,11,14,0.177175,0.139806,0.067243,0.032659,0.0,2021-1-11-14,0,0
284,2021,1,12,14,0.544173,0.230796,0.074804,0.036272,0.025399999999999,2021-1-12-14,0,0
308,2021,1,13,14,0.142337,0.270639,0.084925,0.034651,0.0,2021-1-13-14,0,0
332,2021,1,14,14,0.118403,0.142848,0.081274,0.032326,0.0,2021-1-14-14,0,0
356,2021,1,15,14,0.206884,0.140336,0.090359,0.036369,0.0,2021-1-15-14,0,5
380,2021,1,16,14,0.373624,0.237178,0.093402,0.035836,0.0,2021-1-16-14,0,0
404,2021,1,17,14,0.529042,0.278023,0.106108,0.041331,0.2032000000000039,2021-1-17-14,0,0
428,2021,1,18,14,0.222057,0.204906,0.103294,0.03662,0.0,2021-1-18-14,0,0
452,2021,1,19,14,0.181152,0.156094,0.100842,0.035015,0.0,2021-1-19-14,0,0
476,2021,1,20,14,0.125966,0.135101,0.102822,0.035974,0.0,2021-1-20-14,0,0
