,year,month,day,hour,1hrfm,10hrfm,100hrfm,1000hrfm,precip,time,modis,viirs
19,2021,8,1,14,0.064037,0.065848,0.010831,0.004916,0.0,2021-8-1-14,23,74
43,2021,8,2,14,0.290251,0.357941,0.142824,0.015047,0.0,2021-8-2-14,1,14
67,2021,8,3,14,0.102179,0.139006,0.103075,0.019899,0.0,2021-8-3-14,0,19
91,2021,8,4,14,0.065984,0.092177,0.082624,0.018863,0.0,2021-8-4-14,20,0
115,2021,8,5,14,0.0835,0.089387,0.076717,0.020903,0.0,2021-8-5-14,0,8
139,2021,8,6,14,0.084126,0.100106,0.077408,0.022016,0.0,2021-8-6-14,7,16
163,2021,8,7,14,0.071223,0.088218,0.068552,0.021886,0.0,2021-8-7-14,0,16
187,2021,8,8,14,0.31323,0.336826,0.099954,0.027736,0.0,2021-8-8-14,0,11
211,2021,8,9,14,0.10282,0.135079,0.082093,0.024397,0.0,2021-8-9-14,0,0
234,2021,8,10,14,0.098885,0.110499,0.079411,0.026371,0.0,2021-8-10-14,0,0
258,2021,8,11,14,0.064179,0.076375,0.066676,0.024414,0.0,2021-8-11-14,4,3
282,2021,8,12,14,0.065097,0.074679,0.060311,0.024455,0.0,2021-8-12-14,0,26
306,2021,8,13,14,0.060401,0.070513,0.05552,0.024069,0.0,2021-8-13-14,17,48
330,2021,8,14,14,0.07297,0.077836,0.054404,0.025307,0.0,2021-8-14-14,12,87
354,2021,8,15,14,0.064739,0.076723,0.052618,0.025325,0.0,2021-8-15-14,19,94
378,2021,8,16,14,0.055761,0.066781,0.047126,0.023219,0.0,2021-8-16-14,27,137
402,2021,8,17,14,0.103155,0.091818,0.053273,0.027757,0.0,2021-8-17-14,26,147
426,2021,8,18,14,0.308976,0.276866,0.112693,0.034014,0.0,2021-8-18-14,0,0
450,2021,8,19,14,0.134503,0.155757,0.100625,0.03079,0.0,2021-8-19-14,0,1
474,2021,8,20,14,0.11615,0.163307,0.099789,0.034074,0.0,2021-8-20-14,0,1
498,2021,8,21,14,0.137405,0.223505,0.126466,0.038869,0.0,2021-8-21-14,0,0
522,2021,8,22,14,0.107298,0.185193,0.129547,0.03818,0.0,2021-8-22-14,0,0
546,2021,8,23,14,0.087307,0.114023,0.103556,0.03776,0.0,2021-8-23-14,0,0
570,2021,8,24,14,0.084009,0.087309,0.092904,0.035795,0.0,2021-8-24-14,0,0
594,2021,8,25,14,0.089128,0.091025,0.091064,0.040144,0.0,2021-8-25-14,0,0
618,2021,8,26,14,0.111765,0.115201,0.092779,0.044508,0.0,2021-8-26-14,0,2
642,2021,8,27,14,0.208374,0.222356,0.100906,0.04627,0.0,2021-8-27-14,0,1
666,2021,8,28,14,0.109325,0.136099,0.088651,0.041611,0.0,2021-8-28-14,0,1
690,2021,8,29,14,0.091261,0.107499,0.081438,0.041546,0.0,2021-8-29-14,2,7
714,2021,8,30,14,0.081123,0.092919,0.074761,0.041168,0.0,2021-8-30-14,0,5
738,2021,8,31,14,0.062953,0.073687,0.065552,0.037368,0.0,2021-8-31-14,1,3
762,2021,9,1,14,0.078225,0.074379,0.063947,0.037335,0.0,2021-9-1-14,0,2
786,2021,9,2,14,0.078489,0.079603,0.061856,0.037264,0.0,2021-9-2-14,3,10
810,2021,9,3,14,0.079753,0.08233,0.062174,0.039074,0.0,2021-9-3-14,2,14
834,2021,9,4,14,0.068163,0.078836,0.058407,0.037629,0.0,2021-9-4-14,1,14
858,2021,9,5,14,0.068797,0.070989,0.057596,0.039411,0.0,2021-9-5-14,9,27
882,2021,9,6,14,0.072694,0.076338,0.056868,0.039826,0.0,2021-9-6-14,23,124
906,2021,9,7,14,0.076091,0.079315,0.055106,0.040148,0.0,2021-9-7-14,19,74
930,2021,9,8,14,0.071828,0.07975,0.054771,0.041599,0.0,2021-9-8-14,20,105
954,2021,9,9,14,0.099059,0.095216,0.058616,0.042878,0.0,2021-9-9-14,20,88
978,2021,9,10,14,0.081927,0.091206,0.058907,0.041365,0.0,2021-9-10-14,1,56
1002,2021,9,11,14,0.124508,0.137223,0.069837,0.045614,0.0,2021-9-11-14,0,7
1026,2021,9,12,14,0.105497,0.118503,0.067969,0.043095,0.0,2021-9-12-14,0,4
1050,2021,9,13,14,0.10923,0.129714,0.07543,0.046036,0.0,2021-9-13-14,0,1
1074,2021,9,14,14,0.088356,0.097425,0.065361,0.041643,0.0,2021-9-14-14,3,14
1098,2021,9,15,14,0.093224,0.100944,0.071132,0.046525,0.0,2021-9-15-14,2,28
