Lat,Lon,Date
45.826324,-114.272606,2021-05-18
45.821346,-114.277519,2021-05-18
47.664345,-114.192184,2021-05-26
47.665516,-114.190628,2021-05-26
47.662605,-114.193138,2021-05-26
47.664722,-114.192673,2021-05-27
46.95134,-114.184135,2021-05-30
47.342216,-114.647484,2021-06-05
47.640102,-114.116386,2021-06-16
47.640175,-114.117287,2021-06-17
47.641609,-114.117516,2021-06-17
47.639751,-114.115654,2021-06-18
47.642838,-114.114372,2021-06-18
46.904438,-114.019562,2021-06-26
46.902683,-114.019676,2021-06-27
47.344753,-114.802887,2021-07-08
47.346348,-114.801796,2021-07-08
47.359421,-114.68158,2021-07-08
47.269188,-114.766563,2021-07-08
47.123539,-114.659737,2021-07-08
47.124908,-114.63839,2021-07-08
47.126343,-114.651268,2021-07-08
47.127102,-114.658112,2021-07-08
46.472248,-114.534004,2021-07-08
46.47583,-114.533028,2021-07-08
46.470684,-114.520271,2021-07-08
47.300732,-115.001808,2021-07-08
47.122322,-114.64669,2021-07-08
47.126652,-114.637009,2021-07-08
47.125038,-114.654083,2021-07-08
47.127327,-114.660301,2021-07-08
47.129868,-114.645775,2021-07-08
46.475723,-114.530632,2021-07-08
47.354836,-114.681488,2021-07-08
47.358952,-114.682648,2021-07-08
47.355927,-114.691116,2021-07-08
46.473984,-114.529068,2021-07-08
46.474579,-114.523338,2021-07-08
46.470814,-114.522728,2021-07-08
46.613319,-113.577827,2021-07-08
46.613953,-113.571327,2021-07-08
46.609371,-113.577431,2021-07-08
46.612553,-113.5784,2021-07-08
46.613171,-113.571838,2021-07-08
46.609619,-114.695023,2021-07-08
46.608974,-114.699791,2021-07-08
47.123783,-114.639206,2021-07-08
47.121899,-114.657387,2021-07-08
47.356346,-114.68576,2021-07-08
47.344418,-114.798965,2021-07-08
47.358185,-114.691467,2021-07-09
47.126385,-114.65773,2021-07-09
47.121994,-114.660324,2021-07-09
47.12603,-114.658607,2021-07-09
47.121658,-114.661148,2021-07-09
46.471443,-114.51722,2021-07-09
46.471973,-114.524071,2021-07-09
46.472691,-114.533356,2021-07-09
46.613724,-113.571014,2021-07-09
46.474701,-114.534401,2021-07-09
46.47644,-114.523552,2021-07-09
46.615837,-113.572594,2021-07-09
46.477139,-114.532562,2021-07-09
46.474045,-114.52504,2021-07-09
46.469578,-114.525536,2021-07-09
46.473537,-114.517838,2021-07-09
46.474823,-114.529846,2021-07-09
46.475533,-114.524963,2021-07-09
46.47224,-114.524002,2021-07-09
46.468952,-114.523033,2021-07-09
46.472965,-114.519058,2021-07-09
46.605732,-113.563423,2021-07-09
46.469685,-114.518059,2021-07-09
46.47625,-114.520042,2021-07-09
46.474125,-114.534698,2021-07-09
46.470833,-114.533737,2021-07-09
46.471535,-114.528885,2021-07-09
46.476639,-114.533348,2021-07-09
46.477356,-114.528503,2021-07-09
46.478073,-114.523605,2021-07-09
46.612885,-114.698059,2021-07-09
46.634457,-114.66803,2021-07-09
47.12495,-114.655449,2021-07-09
47.125675,-114.650505,2021-07-09
47.124233,-114.66037,2021-07-09
47.128952,-114.651581,2021-07-09
47.128231,-114.656525,2021-07-09
47.3554,-114.683372,2021-07-09
47.352863,-114.677116,2021-07-09
47.357765,-114.692551,2021-07-10
46.637775,-114.666565,2021-07-10
46.645172,-114.653046,2021-07-10
46.634052,-114.661087,2021-07-10
46.64534,-114.658676,2021-07-10
46.639874,-114.665833,2021-07-10
46.634232,-114.667114,2021-07-10
46.639534,-114.654396,2021-07-10
46.639706,-114.660049,2021-07-10
46.637394,-114.655411,2021-07-10
46.637577,-114.660736,2021-07-10
46.632145,-114.667824,2021-07-10
46.472347,-114.517769,2021-07-10
46.472561,-114.524185,2021-07-10
46.472919,-114.535187,2021-07-10
46.472168,-114.512482,2021-07-10
46.466923,-114.524055,2021-07-10
46.467247,-114.533989,2021-07-10
47.127716,-114.655067,2021-07-10
47.125317,-114.654427,2021-07-10
47.129189,-114.660637,2021-07-10
47.126793,-114.66011,2021-07-10
47.124378,-114.661621,2021-07-10
46.641609,-114.658752,2021-07-10
46.646252,-114.656883,2021-07-10
46.469318,-114.535347,2021-07-10
46.475658,-114.520142,2021-07-10
46.469265,-114.515594,2021-07-10
46.477215,-114.525993,2021-07-10
46.473759,-114.512947,2021-07-10
46.471134,-114.522659,2021-07-10
46.472607,-114.528206,2021-07-10
46.473961,-114.533279,2021-07-10
46.467999,-114.530373,2021-07-10
46.35878,-114.768158,2021-07-10
46.645832,-114.657158,2021-07-10
46.609943,-113.577042,2021-07-10
46.467411,-114.528206,2021-07-10
46.468582,-114.522141,2021-07-10
46.469646,-114.516571,2021-07-10
46.470707,-114.511024,2021-07-10
46.471981,-114.523697,2021-07-10
46.472923,-114.538025,2021-07-10
46.473083,-114.517929,2021-07-10
46.474144,-114.512413,2021-07-10
46.474167,-114.531586,2021-07-10
46.475384,-114.525269,2021-07-10
46.476513,-114.519371,2021-07-10
46.477547,-114.533272,2021-07-10
46.641273,-114.661652,2021-07-10
46.64344,-114.650215,2021-07-10
46.612129,-114.697861,2021-07-10
46.642357,-114.655937,2021-07-10
46.61314,-114.692551,2021-07-10
46.634365,-114.658989,2021-07-10
46.616577,-114.694023,2021-07-10
46.633259,-114.664848,2021-07-10
46.636726,-114.666107,2021-07-10
46.637817,-114.660355,2021-07-10
46.638893,-114.654671,2021-07-10
46.645184,-114.658043,2021-07-10
46.645679,-114.649956,2021-07-11
46.468315,-114.513649,2021-07-11
46.65081,-114.647255,2021-07-11
46.645592,-114.659599,2021-07-11
46.650688,-114.656487,2021-07-11
46.652683,-114.647133,2021-07-11
46.643661,-114.659454,2021-07-11
46.643795,-114.64959,2021-07-11
46.468212,-114.523193,2021-07-11
46.475136,-114.524803,2021-07-11
46.475246,-114.513832,2021-07-11
46.476322,-114.510689,2021-07-11
46.476273,-114.520119,2021-07-11
46.461376,-114.51403,2021-07-11
46.469395,-114.510338,2021-07-11
46.469341,-114.51915,2021-07-11
46.462406,-114.519241,2021-07-11
46.46246,-114.510429,2021-07-11
46.65506,-114.643417,2021-07-11
46.650841,-114.591942,2021-07-11
46.649906,-114.644547,2021-07-11
46.65369,-114.643211,2021-07-11
46.646099,-114.645821,2021-07-11
46.64761,-114.65284,2021-07-11
46.651409,-114.651558,2021-07-11
46.633995,-114.665337,2021-07-11
46.643822,-114.65419,2021-07-11
46.64151,-114.662376,2021-07-11
46.469906,-114.520042,2021-07-11
46.471256,-114.526199,2021-07-11
46.475861,-114.509583,2021-07-11
46.472496,-114.531853,2021-07-11
46.477345,-114.51635,2021-07-11
46.480019,-114.528595,2021-07-11
46.477482,-114.535797,2021-07-11
46.47213,-114.511353,2021-07-11
46.473637,-114.518227,2021-07-11
46.47628,-114.530319,2021-07-11
46.463169,-114.508087,2021-07-11
46.468384,-114.513069,2021-07-11
46.468716,-114.533394,2021-07-11
46.464642,-114.514793,2021-07-11
46.466148,-114.521698,2021-07-11
46.467495,-114.527832,2021-07-11
46.359985,-114.770836,2021-07-11
46.360619,-114.769867,2021-07-11
46.470753,-114.528267,2021-07-11
46.464214,-114.517509,2021-07-11
46.465488,-114.512169,2021-07-11
46.462872,-114.504082,2021-07-11
46.466888,-114.50631,2021-07-11
46.469578,-114.514099,2021-07-11
46.472332,-114.521629,2021-07-11
46.470905,-114.508514,2021-07-11
46.468323,-114.519348,2021-07-11
46.466885,-114.525383,2021-07-11
46.474953,-114.510643,2021-07-11
46.473667,-114.516045,2021-07-11
46.474556,-114.53138,2021-07-11
46.46891,-114.535942,2021-07-11
46.47628,-114.524162,2021-07-11
46.477684,-114.518272,2021-07-11
46.478996,-114.512779,2021-07-11
46.480064,-114.52739,2021-07-11
46.643295,-114.661011,2021-07-11
46.645981,-114.649544,2021-07-11
46.647312,-114.643867,2021-07-11
46.629555,-114.661293,2021-07-11
46.650826,-114.590057,2021-07-11
46.648739,-114.637741,2021-07-11
46.651997,-114.585068,2021-07-11
46.633656,-114.663246,2021-07-11
46.644653,-114.655205,2021-07-11
46.641888,-114.647583,2021-07-11
46.650215,-114.650902,2021-07-11
46.641186,-114.66272,2021-07-11
46.654224,-114.633759,2021-07-11
46.652863,-114.639572,2021-07-11
46.64257,-114.656975,2021-07-11
46.651527,-114.645271,2021-07-11
46.648869,-114.656654,2021-07-11
46.643936,-114.651283,2021-07-11
46.645306,-114.645599,2021-07-11
46.646751,-114.639587,2021-07-11
46.648151,-114.652733,2021-07-11
46.649502,-114.647118,2021-07-11
46.646755,-114.658562,2021-07-11
46.652287,-114.635529,2021-07-11
46.653759,-114.648415,2021-07-11
46.65089,-114.64135,2021-07-11
46.656433,-114.637222,2021-07-11
46.655094,-114.642853,2021-07-11
47.131008,-114.653618,2021-07-11
47.126919,-114.65184,2021-07-11
47.452793,-114.781235,2021-07-11
47.451302,-114.787575,2021-07-11
47.447144,-114.78611,2021-07-11
47.448608,-114.779922,2021-07-11
46.460873,-114.505638,2021-07-11
46.460941,-114.499382,2021-07-11
46.460812,-114.511528,2021-07-11
46.360466,-114.769196,2021-07-11
46.467056,-114.520164,2021-07-11
46.660427,-114.635262,2021-07-11
46.463234,-114.520836,2021-07-11
46.460716,-114.520248,2021-07-11
46.467216,-114.505814,2021-07-11
46.463284,-114.512688,2021-07-11
46.473286,-114.529961,2021-07-11
46.466942,-114.53064,2021-07-11
46.467148,-114.512131,2021-07-11
46.466896,-114.534821,2021-07-11
46.473339,-114.525345,2021-07-11
46.4734,-114.519882,2021-07-11
46.466988,-114.526009,2021-07-11
46.473484,-114.512238,2021-07-11
46.479637,-114.529297,2021-07-11
46.479755,-114.518585,2021-07-11
46.473244,-114.534164,2021-07-11
46.463364,-114.50029,2021-07-11
46.479839,-114.511513,2021-07-11
46.479584,-114.533691,2021-07-11
46.479694,-114.524208,2021-07-11
46.52702,-115.035614,2021-07-11
46.469509,-114.530769,2021-07-11
46.469574,-114.520958,2021-07-11
46.660515,-114.627373,2021-07-11
46.463322,-114.506493,2021-07-11
46.463196,-114.527046,2021-07-11
46.463165,-114.531601,2021-07-11
