Lat,Lon,Date
46.6497,-114.6198,2021-07-11
46.4576,-114.5451,2021-07-11
46.4813,-114.5517,2021-07-11
46.6557,-114.6773,2021-07-11
46.4647,-114.5524,2021-07-11
46.6483,-114.6674,2021-07-11
47.1313,-114.6768,2021-07-11
46.6393,-114.675,2021-07-11
46.6569,-114.629,2021-07-11
46.4764,-114.5147,2021-07-12
46.6636,-114.6286,2021-07-12
47.1286,-114.6459,2021-07-12
46.4577,-114.5079,2021-07-12
46.4644,-114.5262,2021-07-12
46.4737,-114.5302,2021-07-12
46.5257,-115.0481,2021-07-12
47.4593,-114.7841,2021-07-12
46.4549,-114.5005,2021-07-12
46.65,-114.5927,2021-07-12
46.4598,-114.507,2021-07-12
46.4562,-114.4977,2021-07-12
46.65,-114.5934,2021-07-12
46.6573,-114.6356,2021-07-12
46.4794,-114.519,2021-07-12
46.4586,-114.5117,2021-07-12
46.3061,-114.7114,2021-07-12
46.5213,-115.0467,2021-07-12
46.5305,-115.0444,2021-07-12
46.461,-114.5258,2021-07-12
46.6061,-114.6906,2021-07-12
46.4615,-114.5396,2021-07-12
46.4564,-114.5112,2021-07-12
46.6042,-114.7034,2021-07-12
46.474,-114.5166,2021-07-12
46.4652,-114.5139,2021-07-12
46.4703,-114.5424,2021-07-12
46.4634,-114.5267,2021-07-12
46.304,-114.7241,2021-07-12
46.4722,-114.5295,2021-07-12
46.4583,-114.4984,2021-07-12
46.5243,-115.0479,2021-07-12
46.5262,-115.035,2021-07-12
46.4545,-114.5239,2021-07-12
46.6332,-114.632,2021-07-12
47.131,-114.6434,2021-07-12
46.6616,-114.6275,2021-07-12
46.6401,-114.6477,2021-07-12
46.6477,-114.5964,2021-07-12
47.1291,-114.6564,2021-07-12
46.4613,-114.5195,2021-07-13
46.4598,-114.5391,2021-07-13
46.4639,-114.5348,2021-07-13
46.4655,-114.5148,2021-07-13
46.4831,-114.5417,2021-07-13
46.4549,-114.5019,2021-07-13
46.4481,-114.4931,2021-07-13
46.4588,-114.5312,2021-07-13
46.4657,-114.5309,2021-07-13
46.4552,-114.4928,2021-07-13
46.4575,-114.5374,2021-07-13
46.4584,-114.5394,2021-07-14
46.463,-114.5174,2021-07-14
46.4599,-114.5246,2021-07-14
46.6455,-114.5901,2021-07-14
46.6128,-114.6863,2021-07-14
46.4562,-114.4991,2021-07-14
46.4581,-114.5119,2021-07-14
46.6146,-114.6991,2021-07-14
46.3027,-114.7172,2021-07-14
46.4574,-114.5229,2021-07-14
46.3594,-114.7764,2021-07-14
46.6154,-114.6884,2021-07-14
46.3054,-114.7192,2021-07-14
46.613,-114.7024,2021-07-14
46.4547,-114.5383,2021-07-14
46.6037,-114.6986,2021-07-14
46.6353,-114.6324,2021-07-14
46.303,-114.7326,2021-07-14
46.4731,-114.5466,2021-07-14
46.4759,-114.5308,2021-07-14
46.6062,-114.6845,2021-07-14
46.3499,-114.7733,2021-07-14
46.6428,-114.5897,2021-07-14
46.3526,-114.758,2021-07-14
46.626,-114.6474,2021-07-15
46.4473,-114.5129,2021-07-15
46.487,-114.5204,2021-07-15
46.3597,-114.7638,2021-07-15
46.4571,-114.5156,2021-07-15
46.4836,-114.5526,2021-07-15
46.4854,-114.5357,2021-07-15
46.4476,-114.5073,2021-07-15
46.4588,-114.4998,2021-07-15
